년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Oct-92,서울경기,13.5,8.8,18.8
Nov-92,서울경기,5.9,1.3,11.1
Dec-92,서울경기,1.2,-2.7,5.2
Jan-93,서울경기,-2.5,-6.4,1.9
Feb-93,서울경기,0.4,-3.8,5
Mar-93,서울경기,4.9,0.5,9.9
Apr-93,서울경기,9.6,5.2,14.7
May-93,서울경기,17,12.2,22.6
Jun-93,서울경기,20.3,16.8,24.8
Jul-93,서울경기,22.8,19.4,26.9
Aug-93,서울경기,22.8,19.5,26.9
Sep-93,서울경기,20.7,16.1,25.9
Oct-93,서울경기,12.9,7.2,18.9
Nov-93,서울경기,8.2,4.5,12.3
Dec-93,서울경기,-0.3,-4.4,3.9
Jan-94,서울경기,-1.4,-5.7,3
Feb-94,서울경기,0.1,-4.4,5.4
Mar-94,서울경기,3.5,-1.1,8.4
Apr-94,서울경기,13.8,8.1,20.2
May-94,서울경기,17,12.4,22.1
Jun-94,서울경기,21.5,16.9,26.8
Jul-94,서울경기,27.7,24.5,31.7
Aug-94,서울경기,27.1,23.6,31.3
Sep-94,서울경기,20.7,15.9,25.7
Oct-94,서울경기,14.9,10.4,20.1
Nov-94,서울경기,8.8,4.2,13.5
Dec-94,서울경기,1,-3.2,5.1
Jan-95,서울경기,-2.2,-6.5,2.1
Feb-95,서울경기,0.5,-4.4,5.9
Mar-95,서울경기,5.5,1.3,10.1
Apr-95,서울경기,10.3,5.4,15.9
May-95,서울경기,16.1,11,21.2
Jun-95,서울경기,20.8,16.9,25.7
Jul-95,서울경기,24.1,21,27.5
Aug-95,서울경기,25.8,23.1,29.2
Sep-95,서울경기,19.7,15.2,24.6
Oct-95,서울경기,15.1,9.8,20.6
Nov-95,서울경기,6.1,1,11.7
Dec-95,서울경기,-1.2,-5.3,3.3
Jan-96,서울경기,-2.4,-6.6,2.5
Feb-96,서울경기,-1.9,-6.5,3.1
Mar-96,서울경기,4.4,0,9.1
Apr-96,서울경기,9.4,4.8,14.3
